alien,40804.9,17731.5
amidar,8659.2,1047.3
assault,24559.4,24404.6
asterix,313305,283179.5
asteroids,155495.1,117303.4
atlantis,944497.5,918714.5
bank,1716.4,1200.8
battle_zone,98895,92275
beam_rider,63305.2,72233.7
berzerk,57196.7,55598.9
bowling,17.6,30.2
boxing,100,80.9
breakout,800.9,756.5
centipede,12974,5711.6
chopper_command,721851,576601.5
crazy_climber,320426,263953.5
defender,411943.5,399865.3
demon_attack,133086.4,133002.1
double_dunk,23.5,22.3
enduro,2177.4,2042.4
fishing_derby,44.4,22.4
freeway,33.7,29
frostbite,9328.6,6511.5
gopher,120500.9,121168.2
gravitar,1598.5,662
hero,31655.9,26345.3
ice_hockey,33,24
jamesbond,21322.5,18992.3
kangaroo,1416,577.5
krull,11741.4,8592
kung,97829.5,72068
montezuma_revenge,2500,1079
ms_pacman,11255.2,6135.4
name_thisgame,25783.3,23829.9
phoenix,224491.1,188788.5
pitfall,-0.6,-273.3
pong,20.9,18.7
private,49.8,864.7
qbert,302391.3,380152.1
riverraid,63864.4,49982.8
roadrunner,222234.5,127111.5
robotank,73.8,68.5
seaquest,392952.3,377179.8
skiing,-10789.9,-11359.3
solaris,2892.9,3115.9
spaceinvaders,54681,50699.3
stargunner,434342.5,432958
surround,7.1,5.5
tennis,23.9,23
timepilot,87085,71543
tutankham,272.6,127.7
updown,401884.3,347912.2
venture,1813,935.5
video,565163.2,873988.5
wizardowor,46204,46897
yars,148594.8,131701.1
zaxxon,42285.5,37672
