GAMES,NO.,ACTIONS,RANDOM,HUMAN,DQN,DDQN,DUEL,PRIOR.,PRIOR.,DUEL.
Alien,18,227.8,7127.7,1620,3747.7,4461.4,4203.8,3941,,
Amidar,10,5.8,1719.5,978,1793.3,2354.5,1838.9,2296.8,,
Assault,7,222.4,742,4280.4,5393.2,4621,7672.1,11477,,
Asterix,9,210,8503.3,4359,17356.5,28188,31527,375080,,
Asteroids,14,719.1,47388.7,1364.5,734.7,2837.7,2654.3,1192.7,,
Atlantis,4,12850,29028.1,279987,106056,382572,357324,395762,,
Bank_Heist,18,14.2,753.1,455,1030.6,1611.9,1054.6,1503.1,,
Battle_Zone,18,2360,37187.5,29900,31700,37150,31530,35520,,
Beam_Rider,9,363.9,16926.5,8627.5,13772.8,12164,23384.2,30276.5,,
Berzerk,18,123.7,2630.4,585.6,1225.4,1472.6,1305.6,3409,,
Bowling,6,23.1,160.7,50.4,68.1,65.5,47.9,46.7,,
Boxing,18,0.1,12.1,88,91.6,99.4,95.6,98.9,,
Breakout,4,1.7,30.5,385.5,418.5,345.3,373.9,366,,
Centipede,18,2090.9,12017,4657.7,5409.4,7561.4,4463.2,7687.5,,
Chopper_Command,18,811,7387.8,6126,5809,11215,8600,13185,,
Crazy_Climber,9,10780.5,35829.4,110763,117282,143570,141161,162224,,
Defender,18,2874.5,18688.9,23633,35338.5,42214,31286.5,41324.5,,
Demon_Attack,6,152.1,1971,12149.4,58044.2,60813.3,71846.4,72878.6,,
Double_Dunk,18,-18.6,-16.4,-6.6,-5.5,0.1,18.5,-12.5,,
Enduro,9,0,860.5,729,1211.8,2258.2,2093,2306.4,,
Fishing_Derby,18,-91.7,-38.7,-4.9,15.5,46.4,39.5,41.3,,
Freeway,3,0,29.6,30.8,33.3,0,33.7,33,,
Frostbite,18,65.2,4334.7,797.4,1683.3,4672.8,4380.1,7413,,
Gopher,8,257.6,2412.5,8777.4,14840.8,15718.4,32487.2,104368.2,,
Gravitar,18,173,3351.4,473,412,588,548.5,238,,
H.E.R.O.,18,1027,30826.4,20437.8,20130.2,20818.2,23037.7,21036.5,,
Ice_Hocky,18,-11.2,0.9,-1.9,-2.7,0.5,1.3,-0.4,,
James_Bond,18,29,302.8,768.5,1358,1312.5,5148,812,,
Kangaroo,18,52,3035,7259,12992,14854,16200,1792,,
Krull,18,1598,2665.5,8422.3,7920.5,11451.9,9728,10374.4,,
Kung-Fu_Master,14,258.5,22736.3,26059,29710,34294,39581,48375,,
Montezuma’s_Revenge,18,0,4753.3,0,0,0,0,0,,
Ms._Pac-Man,9,307.3,6951.6,3085.6,2711.4,6283.5,6518.7,3327.3,,
Name_This_Game,6,2292.3,8049,8207.8,10616,11971.1,12270.5,15572.5,,
Phoenix,8,761.4,7242.6,8485.2,12252.5,23092.2,18992.7,70324.3,,
Pitfall!,18,-229.4,6463.7,-286.1,-29.9,0,-356.5,0,,
Pong,3,-20.7,14.6,19.5,20.9,21,20.6,20.9,,
Private_Eye,18,24.9,69571.3,146.7,129.7,103,200,206,,
Q*Bert,6,163.9,13455,13117.3,15088.5,19220.3,16256.5,18760.3,,
River_Raid,18,1338.5,17118,7377.6,14884.5,21162.6,14522.3,20607.6,,
Road_Runner,18,11.5,7845,39544,44127,69524,57608,62151,,
Robotank,18,2.2,11.9,63.9,65.1,65.3,62.6,27.5,,
Seaquest,18,68.4,42054.7,5860.6,16452.7,50254.2,26357.8,931.6,,
Skiing,3,-17098.1,-4336.9,-13062.3,-9021.8,-8857.4,-9996.9,-19949.9,,
Solaris,18,1236.3,12326.7,3482.8,3067.8,2250.8,4309,133.4,,
Space_Invaders,6,148,1668.7,1692.3,2525.5,6427.3,2865.8,15311.5,,
Star_Gunner,18,664,10250,54282,60142,89238,63302,125117,,
Surround,5,-10,6.5,-5.6,-2.9,4.4,8.9,1.2,,
Tennis,18,-23.8,-8.3,12.2,-22.8,5.1,0,0,,
Time_Pilot,10,3568,5229.2,4870,8339,11666,9197,7553,,
Tutankham,8,11.4,167.6,68.1,218.4,211.4,204.6,245.9,,
Up_and_Down,6,533.4,11693.2,9989.9,22972.2,44939.6,16154.1,33879.1,,
Venture,18,0,1187.5,163,98,497,54,48,,
Video_Pinball,9,16256.9,17667.9,196760.4,309941.9,98209.5,282007.3,479197,,
Wizard_Of_Wor,10,563.5,4756.5,2704,7492,7855,4802,12352,,
Yars’_Revenge,18,3092.9,54576.9,18098.9,11712.6,49622.1,11357,69618.1,,
Zaxxon,18,32.5,9173.3,5363,10163,12944,10469,13886,,
